,id,content
0,UgxOkhl9kay5L5gsEIR4AaABAg,The spec is just on point! So much better than the white launch car
1,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cWxWJhndQX,@Surf alcatraz how dumb you compare a Bugatti with a cupra 😑
2,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cW8nfP9eZw,0:29 look at the hood PANEL GAP difference. Left side panel gap is big enough to lose YOUR DOG down it....
3,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVhDW93Ycb,"@Surf alcatraz i saw a video with about this, and apparently they think any screen will look outdated let s say in 10 years, and they want the car to remain ""timeless"". not defending just saying..."
4,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVYtys13G3,@Michał Basiński you do understand that Mate Rimac is  major shareholder of bugatti and like bugatti
5,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVSJS3drG2,"@Surf alcatraz exactly .... and this Bugatti is much slower than Rimac Nevera .... not to mention it's 3 times more expensive, which together seems to be art for art for rich snobs;)"
6,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVI2FtNJZn,@ManneredCheetah You realize the instrument cluster is a screen right? 🤦‍♂️
7,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVHucwiOku,It’s just all blue? The launch was all white? What’s the difference.
8,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cV5NTXK3ud,@Revealed but come on we all can agree that the newer seat leon cupra are ugly as fuck and need infotainment system 😛
9,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cV4zlSsN4Q,@Revealed 🤣
10,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTxLENk7Bn,@Jose Pollman that car is so old. Jesus was doing donuts in it 😂
11,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTxBnc1Dmw,@r .m you don’t buy an $8M car to be economical on fuel 🤦
12,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTx3zTVde5,@Surf alcatraz your infotainment system will be the equivalent of a vhs player in 3 years time. They age the car.
13,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTmGXH3OwZ,"@Surf alcatraz is it really helpful to have to scroll several menu pages on your infotainment system while driving just to make simple adjustments like changing the Ac temperature? Cars without physical buttons are the dumbest thing ever, one of the best examples of change for the sake of change"
14,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTkK39Y_PZ,@Vision2005 It’s already aged since it doesn’t even have an infotainment system dumbo.
15,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTZeDZ2Lu4,"@Kaviraj Nosib a million dollar car should make it better not worse. He's not hating the car, I am not either but all of you bugatti fan bois are blinded by your hatred of criticism. We're allowed to criticize. And imo in this day and age it should be possible to work in an infotainment system that works beautifully and still be timeless."
16,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTQQ3HMzLU,"@Roma Busalaev if the Bugatti is in neutral, yes"
17,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTPQjO1N21,"@Irshaad Shaikh no, but his cupra on stage 3 destroys bugatti 50-200 :D"
18,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cT0B4zEusS,@Surf alcatraz the infotainment is the 8 million dollar master piece
19,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cSUHQ5-KE4,@Surf alcatraz god damn you got slammed for that comment 😂
20,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cRVYuJlYLv,@Surf alcatraz Have what
21,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cREoFgCBtv,"@Surf alcatraz No, but the car would have USB ports so u could charge it, and if not then get a portable charger"
22,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cQHtstCBWp,I dont agree with you. the spec on this one looks tacky if u ask me.
23,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cQ6pyGEDgh,you haven't seen the black one
24,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cPxKA83hDl,@Surf alcatraz youre getting dragged 😆
25,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cPCZWQTl3S,@Surf alcatraz just go through the minor inconvenience of not getting lost to begin with. thats how we managed before mobile phones.
26,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cPBUR94rCK,@Kaviraj Nosib He's trying to make himself feel better about the fact that no one gaf about his Leon.
27,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cOa1mfiQpr,automatic. throwing the fuck up rn
28,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cORmVulLGc,"Centodieci is not a daily-drive vehicle, so the customer won't need a display screen on the dashboard
He'll get that in his Urus or whatever everyday SUV he drives.."
29,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cOEukXMN44,@Surf alcatraz yes of course you need an infotainment system in that ugly car and I have a red seat leon cupra 2003 at home which is a beautiful car and does not need infotainment
30,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cOEiRF9APh,@Surf alcatraz yes of course you need an infotainment system in that ugly piece of shit and I have a red seat leon cupra 2003 at home which is a beautiful car
31,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cNzQoesXQQ,"@Surf alcatraz big cap XD 1,2S OFF when ecu tuning. no, 0-100kmh 4s top speed 230kmh 100-200 20s?"
32,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cNsCl7CTSN,@Surf alcatraz What sort of point are you trying to get across? How can you even compare a normal daily drivers car (Your Seat Leon) to a car that is worth millions and wouldn't be used as a daily driver.
