,id,content,content_clean,content_no_stopwords
0,UgxOkhl9kay5L5gsEIR4AaABAg,The spec is just on point! So much better than the white launch car,The spec is just on point So much better than the white launch car,The spec point So much better white launch car
1,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cWxWJhndQX,@Surf alcatraz how dumb you compare a Bugatti with a cupra 😑, alcatraz how dumb you compare a Bugatti with a cupra 😑,alcatraz dumb compare Bugatti cupra 😑
2,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cW8nfP9eZw,0:29 look at the hood PANEL GAP difference. Left side panel gap is big enough to lose YOUR DOG down it....,029 look at the hood PANEL GAP difference Left side panel gap is big enough to lose YOUR DOG down it,029 look hood PANEL GAP difference Left side panel gap big enough lose YOUR DOG
3,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVhDW93Ycb,"@Surf alcatraz i saw a video with about this, and apparently they think any screen will look outdated let s say in 10 years, and they want the car to remain ""timeless"". not defending just saying...", alcatraz i saw a video with about this and apparently they think any screen will look outdated let s say in 10 years and they want the car to remain timeless not defending just saying,alcatraz saw video apparently think screen look outdated let say 10 years want car remain timeless defending saying
4,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVYtys13G3,@Michał Basiński you do understand that Mate Rimac is  major shareholder of bugatti and like bugatti,ł Basiński you do understand that Mate Rimac is  major shareholder of bugatti and like bugatti,ł Basiński understand Mate Rimac major shareholder bugatti like bugatti
5,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVSJS3drG2,"@Surf alcatraz exactly .... and this Bugatti is much slower than Rimac Nevera .... not to mention it's 3 times more expensive, which together seems to be art for art for rich snobs;)", alcatraz exactly  and this Bugatti is much slower than Rimac Nevera  not to mention its 3 times more expensive which together seems to be art for art for rich snobs,alcatraz exactly Bugatti much slower Rimac Nevera mention 3 times expensive together seems art art rich snobs
6,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVI2FtNJZn,@ManneredCheetah You realize the instrument cluster is a screen right? 🤦‍♂️, You realize the instrument cluster is a screen right 🤦‍♂️,You realize instrument cluster screen right 🤦‍♂️
7,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVHucwiOku,It’s just all blue? The launch was all white? What’s the difference.,It’s just all blue The launch was all white What’s the difference,It’s blue The launch white What’s difference
8,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cV5NTXK3ud,@Revealed but come on we all can agree that the newer seat leon cupra are ugly as fuck and need infotainment system 😛, but come on we all can agree that the newer seat leon cupra are ugly as fuck and need infotainment system 😛,come agree newer seat leon cupra ugly fuck need infotainment system 😛
9,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cV4zlSsN4Q,@Revealed 🤣, 🤣,🤣
10,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTxLENk7Bn,@Jose Pollman that car is so old. Jesus was doing donuts in it 😂, Pollman that car is so old Jesus was doing donuts in it 😂,Pollman car old Jesus donuts 😂
11,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTxBnc1Dmw,@r .m you don’t buy an $8M car to be economical on fuel 🤦, m you don’t buy an 8M car to be economical on fuel 🤦,don’t buy 8M car economical fuel 🤦
12,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTx3zTVde5,@Surf alcatraz your infotainment system will be the equivalent of a vhs player in 3 years time. They age the car., alcatraz your infotainment system will be the equivalent of a vhs player in 3 years time They age the car,alcatraz infotainment system equivalent vhs player 3 years time They age car
13,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTmGXH3OwZ,"@Surf alcatraz is it really helpful to have to scroll several menu pages on your infotainment system while driving just to make simple adjustments like changing the Ac temperature? Cars without physical buttons are the dumbest thing ever, one of the best examples of change for the sake of change", alcatraz is it really helpful to have to scroll several menu pages on your infotainment system while driving just to make simple adjustments like changing the Ac temperature Cars without physical buttons are the dumbest thing ever one of the best examples of change for the sake of change,alcatraz really helpful scroll several menu pages infotainment system driving make simple adjustments like changing Ac temperature Cars without physical buttons dumbest thing ever one best examples change sake change
14,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTkK39Y_PZ,@Vision2005 It’s already aged since it doesn’t even have an infotainment system dumbo., It’s already aged since it doesn’t even have an infotainment system dumbo,It’s already aged since doesn’t even infotainment system dumbo
15,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTZeDZ2Lu4,"@Kaviraj Nosib a million dollar car should make it better not worse. He's not hating the car, I am not either but all of you bugatti fan bois are blinded by your hatred of criticism. We're allowed to criticize. And imo in this day and age it should be possible to work in an infotainment system that works beautifully and still be timeless.", Nosib a million dollar car should make it better not worse Hes not hating the car I am not either but all of you bugatti fan bois are blinded by your hatred of criticism Were allowed to criticize And imo in this day and age it should be possible to work in an infotainment system that works beautifully and still be timeless,Nosib million dollar car make better worse Hes hating car I either bugatti fan bois blinded hatred criticism Were allowed criticize And imo day age possible work infotainment system works beautifully still timeless
16,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTQQ3HMzLU,"@Roma Busalaev if the Bugatti is in neutral, yes", Busalaev if the Bugatti is in neutral yes,Busalaev Bugatti neutral yes
17,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTPQjO1N21,"@Irshaad Shaikh no, but his cupra on stage 3 destroys bugatti 50-200 :D", Shaikh no but his cupra on stage 3 destroys bugatti 50200 D,Shaikh cupra stage 3 destroys bugatti 50200 D
18,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cT0B4zEusS,@Surf alcatraz the infotainment is the 8 million dollar master piece, alcatraz the infotainment is the 8 million dollar master piece,alcatraz infotainment 8 million dollar master piece
