,id,content,content_clean,sentiment
0,UgwBo-5_0BukvWFptEp4AaABAg,Can’t believe this car is 15 years old makes me feel old,Can’t believe this car is 15 years old makes me feel old,1
1,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9b2_vQAs_bX,"@Isaacs Random Videos the regular veyron is 17, Grand sport (Regular) is 13, Supersport is 11 and Grand sport vitesse is 10 years old", Random Videos the regular veyron is 17 Grand sport Regular is 13 Supersport is 11 and Grand sport vitesse is 10 years old,1
2,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9albtMAOoVY,What?!?!,What,5
3,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9_ESlVFRqfY,@Sabelo Gama *eb 16.4, Gama eb 164,5
4,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9Zxl6lqChq3,@carnonPL dammm, dammm,3
5,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9Zxht2Vvwj_,this car is older than me,this car is older than me,5
6,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9Yq60LOsz12,Are you from the futre?,Are you from the futre,1
7,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9YUkLY0De2v,@King Suspicious misread the comment, Suspicious misread the comment,1
8,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9YUPE2MhHqK,@Isaacs Random Videos What? No it isn't, Random Videos What No it isnt,1
9,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9YIEAmmkdMI,more like you are old,more like you are old,3
10,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9Xr3JqeH126,Wait seriously? It’s like 17-18 now then,Wait seriously It’s like 1718 now then,2
11,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9Xc7JLpGSmA,"Still one of the fastest, though no longer *the* fastest, and it will be remembered long after the Chiron has faded into irrelevance.",Still one of the fastest though no longer the fastest and it will be remembered long after the Chiron has faded into irrelevance,4
12,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9U2SAi1hlQd,@Sabelo Gama its 10 bc its a 2011, Gama its 10 bc its a 2011,5
13,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9U2I5CwHyET,"Makes me feel young, at heart",Makes me feel young at heart,4
14,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9SYFgXHmfCJ,@Sabelo Gama the car is 10 bc it was made in 2011, Gama the car is 10 bc it was made in 2011,5
15,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9PXi8hYIhOf,@end pi CDWS mad, pi CDWS mad,5
16,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9OkDTTTI470,Same,Same,1
17,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9GSD8ikDpS-,@Arteon he should  have said the grandsport instead, he should  have said the grandsport instead,2
18,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9GR2INfjF_-,@Sabelo Gama He meant the 2005 veyron, Gama He meant the 2005 veyron,3
19,UgwBo-5_0BukvWFptEp4AaABAg.9E7V3tQ3qRk9FWpagM08Tn,The car is not 15 year old it's 10 or 11 years old,The car is not 15 year old its 10 or 11 years old,1
20,UgyJAINmIh1_cyOB13R4AaABAg,maxing out the Bugatti Veyron it's an experience that you will remember forever,maxing out the Bugatti Veyron its an experience that you will remember forever,5
21,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9bCStSI0yDq,@BARK >ciii>ø, ciiiø,3
22,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9aoC4dfiLpE,@BARK supra is slo, supra is slo,1
23,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9_ESueeLVTf,@Timmy Hers how to blow up a motor: 1., Hers how to blow up a motor 1,5
24,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9WjQPvIMXtZ,@BARK BRUH, BRUH,1
25,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9WYUKwBgd8Z,@BARK Supra’s suck. Shitty car with a worse fan base., Supra’s suck Shitty car with a worse fan base,1
26,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9VOVvfSHwez,"Idk why these supra fan bois are so cringe,what do you guys eat for breakfasts? Cow dung? Bruuh you're f*cking comparing a stock piece of hard plastic to the legendary 3 million hypercar,what speed even though you pit a billion dollar into your tune,you could never go faster than bugatti,these 12 year old supra fan bois are pointless",Idk why these supra fan bois are so cringewhat do you guys eat for breakfasts Cow dung Bruuh youre fcking comparing a stock piece of hard plastic to the legendary 3 million hypercarwhat speed even though you pit a billion dollar into your tuneyou could never go faster than bugattithese 12 year old supra fan bois are pointless,1
27,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9VH7MJ3cmSu,@Dennis Micheals C.A.P, Micheals CAP,3
28,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9U5vKVHS55u,@Timmy Hers Exactly. The Supra’s stability isn’t going to be as good as the Veyron’s even if it can go the same speed with power mods., Hers Exactly The Supra’s stability isn’t going to be as good as the Veyron’s even if it can go the same speed with power mods,3
29,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9U2_VFnkGbp,You can only imagine.,You can only imagine,4
30,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9TM2W3-U4Lb,@Timmy Hers aerodynamically a 30 year old sports car is never reaching 250 mph without falling apart., Hers aerodynamically a 30 year old sports car is never reaching 250 mph without falling apart,5
31,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9T6HPAn1p3O,"I mean, if you crash and somehow live, which is EXTREMELY unlikely at such a high speed, it’s almost guaranteed you won’t remember it. It’s like Hammond’s rocket car crash, where he crashed at 285kph, and he can’t remember that.",I mean if you crash and somehow live which is EXTREMELY unlikely at such a high speed it’s almost guaranteed you won’t remember it It’s like Hammond’s rocket car crash where he crashed at 285kph and he can’t remember that,2
32,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9SqFAuisD3j,Happe CJ yes thank you dr. prof. obvious,Happe CJ yes thank you dr prof obvious,5
33,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9RncqxrcVMe,@BARK stock supras are garbage yk, stock supras are garbage yk,1
34,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9RkT-V57M50,"If YOU wanna go 300 mph in a car, you almost can, if Larry Dixon still does his two-person Top Fuel dragster rides.
Larry is a former NHRA Top Fuel champ that has a 2-person Top Fuel dragster that while going for safety, should crack 300 mph in a 1000 ft run with you in the passenger seat behind him. This use to be a service you can pay $10,000 for but then YOU can get to experience insane acceleration AND speed in a real Top Fuel dragster!","If YOU wanna go 300 mph in a car you almost can if Larry Dixon still does his twoperson Top Fuel dragster rides
Larry is a former NHRA Top Fuel champ that has a 2person Top Fuel dragster that while going for safety should crack 300 mph in a 1000 ft run with you in the passenger seat behind him This use to be a service you can pay 10000 for but then YOU can get to experience insane acceleration AND speed in a real Top Fuel dragster",4
35,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9RgaL4cZprb,"Got to say though it's pig ugly imo, like a bug eyed scarab, I had the same feelings for the front of the mk 1 hayabusas and the latest one is not that pretty either,,brilliant engineering in an ugly body especially compared to the other hypercars out there, then some people with huge money make it even worse by covering them in gold wrap, a bit like taking a loved one on holiday and they're looking forward to Monte Carlo cos you've mentioned beautiful scenery, food and entertainment with a little Roulette if she chooses and she ends up in the quality in at las Vegas and eating out at McDonald's. No wonder 60% if all cars classed as the most beautiful of all time were built in the 50s and 60s, (although technically the Veyron is fairly close to the 1.618 Golden Ratio but it's the eye that draws you, not the math).",Got to say though its pig ugly imo like a bug eyed scarab I had the same feelings for the front of the mk 1 hayabusas and the latest one is not that pretty eitherbrilliant engineering in an ugly body especially compared to the other hypercars out there then some people with huge money make it even worse by covering them in gold wrap a bit like taking a loved one on holiday and theyre looking forward to Monte Carlo cos youve mentioned beautiful scenery food and entertainment with a little Roulette if she chooses and she ends up in the quality in at las Vegas and eating out at McDonalds No wonder 60 if all cars classed as the most beautiful of all time were built in the 50s and 60s although technically the Veyron is fairly close to the 1618 Golden Ratio but its the eye that draws you not the math,2
36,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9RQUITgTL48,And then its not really a supra anymore. You pretty much get any car to go fast.,And then its not really a supra anymore You pretty much get any car to go fast,3
37,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9RQTb6MiUJH,Then it would illegal in many countries,Then it would illegal in many countries,2
38,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9R67mAkVgNL,@Tewbs_ to each his own bro, to each his own bro,5
39,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9R3JoybfFRX,@Dennis Micheals the new supra is so much better looking though, Micheals the new supra is so much better looking though,3
40,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PrOWHz05IO,@Liam Weaver it’s not like denis miceals twlking way more or anything, Weaver it’s not like denis miceals twlking way more or anything,1
41,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PqP0nLgI16,@Jack Lutz I don’t remember you being appointed as commissar of YouTube comments., Lutz I don’t remember you being appointed as commissar of YouTube comments,1
42,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PgEB1b_OCq,"@Liam Weaver Supra can't even get close to it, even if you tune it it would be insanely unstable at that speed its body is not build like the veyron to handle it", Weaver Supra cant even get close to it even if you tune it it would be insanely unstable at that speed its body is not build like the veyron to handle it,2
43,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PUS8TbWW4q,@Timmy Hers look at the ft-1 concept..they've ruined, Hers look at the ft1 concepttheyve ruined,1
44,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PUQwLhPTdZ,"@Dennis Micheals Although with the right mods and builds, the MK5 supra can be a good performing car to drive. I just wish Toyota could make the MK5 to resemble more like a modern day MK4 supra that also comes with a manual and a Toyota designed inline 6 engine instead of using BMW's engine. Let's just hope Nissan's new Z car can save all of us enthusiasts out there (which I think it has a high chance to do it.)", Micheals Although with the right mods and builds the MK5 supra can be a good performing car to drive I just wish Toyota could make the MK5 to resemble more like a modern day MK4 supra that also comes with a manual and a Toyota designed inline 6 engine instead of using BMWs engine Lets just hope Nissans new Z car can save all of us enthusiasts out there which I think it has a high chance to do it,3
45,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PUPrDjsA4l,@Timmy Hers oh okay cause to me that's the real  supra not that ugly one they're calling supra, Hers oh okay cause to me thats the real  supra not that ugly one theyre calling supra,3
46,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PUP7D1W9CU,"@Dennis Micheals the mark4 supra, the one with the legendary inline-6 2JZ engine.", Micheals the mark4 supra the one with the legendary inline6 2JZ engine,5
47,UgyJAINmIh1_cyOB13R4AaABAg.9LJTJVGxiIZ9PUO_Ydb8Lr,@Timmy Hers are we talking about the MARK4 supra or the bmw Zupra?, Hers are we talking about the MARK4 supra or the bmw Zupra,3
