,id,content
0,UgxyGPlD-vC7BUVyHVV4AaABAg,"This was Hammond's best car review ever. The script, the music, the camera shots, everything. This is peak Top Gear"
1,UgxyGPlD-vC7BUVyHVV4AaABAg.9OWZhASxr8-9aXl_VE9yuV,@Andrei Yang thank you so much. You're the MVP
2,UgxyGPlD-vC7BUVyHVV4AaABAg.9OWZhASxr8-9__jL9YiGxu,@Andrei Yang you’re a godsend mate. Thank you!
3,UgxyGPlD-vC7BUVyHVV4AaABAg.9OWZhASxr8-9_4qS2sca9Z,"I honestly love the Sesto Elemento review, but this one is definitely up there"
4,UgxyGPlD-vC7BUVyHVV4AaABAg.9OWZhASxr8-9Zx6Okmj1wb,I prefer the 918 Review But I respect your opinion
5,UgxyGPlD-vC7BUVyHVV4AaABAg.9OWZhASxr8-9YwjnTexKM4,"I know this isn't the place to put it, but the way YouTube's algorithm works means your comment's technically trending, and you've also mentioned music.

Chances are there's going to be someone like me looking for the music and hitting Ctrl-F on all the comments to see if they can find a comment about it.

Both the opener and closer are an instrumental of All Eyes, by Post War Years."
6,UggUfsVfhSXUzXgCoAEC,"The attention to detail in this car is unbelievable, it's definitely one of the most beautiful cars of all time"
7,UggUfsVfhSXUzXgCoAEC.7-H0Z7-1ceS9_a7eqFn9nB,And than they give the car to Mercedes to put their motor in....
8,UggUfsVfhSXUzXgCoAEC.7-H0Z7-1ceS9ZedzDhggP1,@DA BOY RICK! Oopss... Sundero i mean.
9,UggUfsVfhSXUzXgCoAEC.7-H0Z7-1ceS9ZedyA6Axs6,@DA BOY RICK! Nope. Scuderia wins.
10,UggUfsVfhSXUzXgCoAEC.7-H0Z7-1ceS9ZedxFJC9LB,@MaxWelle robini i ever used this Huayra in GT6.
11,UggUfsVfhSXUzXgCoAEC.7-H0Z7-1ceS9ZNU3KnNtlK,@Mauri Santo no
12,UggUfsVfhSXUzXgCoAEC.7-H0Z7-1ceS9XnCjac9-sT,"Looks like the cars i drew in elementary school, an ugly piece of crap both outside and inside"
13,UggUfsVfhSXUzXgCoAEC.7-H0Z7-1ceS9V9eBzvux-S,@David Miatke if you do a drag race a sundero vs a Pagani the pagani would win by a long shot.
