,id,content
0,UgxafxitLHMSIyIFcg14AaABAg,I liked how the guy on a scooter showed his appreciation of the car. Couldn't have done it better myself.
1,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9Z1ZykLxP6_,@Mike Grayrat At that price point you are paying for exclusivity. Those who buy this are on the next level and aren't thinking about how the new TSLA performs the same  or better.
2,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9Ysz4VnZ6wu,Scooter passed him. Lol
3,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9YcErpcpdFj,@Harbir Singh Just hope it’s never in an accident…back to the factory for a complete rebuild/re-panel….if the insurance doesn’t write it off first…
4,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9YBSOgeETb6,"@Mike Grayrat dude you good? the tesla is literally an eletric SEDAN. and the Battista is LITERALLY a fucking supercar, the tesla is literally heavier than a fucking dolphine (im kidding dont take that seriously LOL) and the battista has a carbon exterior, a very sophisticated body, and a lot more."
5,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9YBSNuvX1Pv,"@Mike Grayrat dude you good? the tesla is literally an eletric SEDAN. and the Battista is LITERALLY a fucking supercar, the tesla is literally heavier than a fucking dolphine (im kidding dont take that seriously LOL) and the battista has a carbon exterior, a very sophisticated body, and a lot more."
6,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9XFeYCJTpeQ,@Mike Grayrat italians overprice there cars to much tesla has better for a cheaper price like tge upcoming roadster 200k pounds 0-60 in 1 second i dont know if yall have seen it.
7,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9V3qh7D4KXU,"The guy on the scooter was a dolt. He knew about as much about cars as Bozo the Clown. He was in awe of the car's aesthetic, not the implications of how foul to the Earth this car - and all other electric vehicles - are!"
8,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9UTRjfH9gp0,"​@Squillium Fancyson A lot of arguments can be made against EV's; my main one is that EV fanboys are the equivalents of Mac fanboys. They've simply given up, or/and hate all that technology stands for. Meanwhile petrolheads seek the glory of teardropping exhaust notes and roaring V8's, EV fanboys wank over teleporting as the future's ultimate joy of transportation. There's no reason not to despise their skillessness and disappreciation."
9,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9UOEUzy0s0x,@Squillium Fancyson over priced trash that's all I know
