,id,content,content_clean,sentiment,subjectivity,polarity,analysis
0,UgxafxitLHMSIyIFcg14AaABAg,I liked how the guy on a scooter showed his appreciation of the car. Couldn't have done it better myself.,I liked how the guy on a scooter showed his appreciation of the car Couldnt have done it better myself,4,0.65,0.55,Positive
1,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9Z1ZykLxP6_,@Mike Grayrat At that price point you are paying for exclusivity. Those who buy this are on the next level and aren't thinking about how the new TSLA performs the same  or better., Grayrat At that price point you are paying for exclusivity Those who buy this are on the next level and arent thinking about how the new TSLA performs the same  or better,1,0.26988636363636365,0.1590909090909091,Positive
2,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9Ysz4VnZ6wu,Scooter passed him. Lol,Scooter passed him Lol,1,0.7,0.8,Positive
3,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9YcErpcpdFj,@Harbir Singh Just hope it’s never in an accident…back to the factory for a complete rebuild/re-panel….if the insurance doesn’t write it off first…, Singh Just hope it’s never in an accident…back to the factory for a complete rebuildrepanel…if the insurance doesn’t write it off first…,4,0.4,0.1,Positive
4,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9YBSOgeETb6,"@Mike Grayrat dude you good? the tesla is literally an eletric SEDAN. and the Battista is LITERALLY a fucking supercar, the tesla is literally heavier than a fucking dolphine (im kidding dont take that seriously LOL) and the battista has a carbon exterior, a very sophisticated body, and a lot more.", Grayrat dude you good the tesla is literally an eletric SEDAN and the Battista is LITERALLY a fucking supercar the tesla is literally heavier than a fucking dolphine im kidding dont take that seriously LOL and the battista has a carbon exterior a very sophisticated body and a lot more,2,0.7333333333333334,0.2416666666666667,Positive
5,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9YBSNuvX1Pv,"@Mike Grayrat dude you good? the tesla is literally an eletric SEDAN. and the Battista is LITERALLY a fucking supercar, the tesla is literally heavier than a fucking dolphine (im kidding dont take that seriously LOL) and the battista has a carbon exterior, a very sophisticated body, and a lot more.", Grayrat dude you good the tesla is literally an eletric SEDAN and the Battista is LITERALLY a fucking supercar the tesla is literally heavier than a fucking dolphine im kidding dont take that seriously LOL and the battista has a carbon exterior a very sophisticated body and a lot more,2,0.7333333333333334,0.2416666666666667,Positive
6,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9XFeYCJTpeQ,@Mike Grayrat italians overprice there cars to much tesla has better for a cheaper price like tge upcoming roadster 200k pounds 0-60 in 1 second i dont know if yall have seen it., Grayrat italians overprice there cars to much tesla has better for a cheaper price like tge upcoming roadster 200k pounds 060 in 1 second i dont know if yall have seen it,2,0.2333333333333333,0.2333333333333333,Positive
7,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9V3qh7D4KXU,"The guy on the scooter was a dolt. He knew about as much about cars as Bozo the Clown. He was in awe of the car's aesthetic, not the implications of how foul to the Earth this car - and all other electric vehicles - are!",The guy on the scooter was a dolt He knew about as much about cars as Bozo the Clown He was in awe of the cars aesthetic not the implications of how foul to the Earth this car  and all other electric vehicles  are,1,0.2875,0.037500000000000006,Positive
8,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9UTRjfH9gp0,"​@Squillium Fancyson A lot of arguments can be made against EV's; my main one is that EV fanboys are the equivalents of Mac fanboys. They've simply given up, or/and hate all that technology stands for. Meanwhile petrolheads seek the glory of teardropping exhaust notes and roaring V8's, EV fanboys wank over teleporting as the future's ultimate joy of transportation. There's no reason not to despise their skillessness and disappreciation.",​ Fancyson A lot of arguments can be made against EVs my main one is that EV fanboys are the equivalents of Mac fanboys Theyve simply given up orand hate all that technology stands for Meanwhile petrolheads seek the glory of teardropping exhaust notes and roaring V8s EV fanboys wank over teleporting as the futures ultimate joy of transportation Theres no reason not to despise their skillessness and disappreciation,1,0.5580952380952382,0.033333333333333326,Positive
9,UgxafxitLHMSIyIFcg14AaABAg.9TGnAhhnhxk9UOEUzy0s0x,@Squillium Fancyson over priced trash that's all I know, Fancyson over priced trash thats all I know,1,0.0,0.0,Neutral
