,id,content
0,UgwRNv7VrMvVBanSiWl4AaABAg,"What an absolute masterpiece this film is, the setting, the fashion, the interior design, the cinematography and not to forget; those 911’s. I love Porsche."
1,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9bNS3cZdugd,Mm
2,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9bEmZHDm_Hv,Yea yea we will be here in in their morning
3,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9b5EEU_CgXj,@D T.L. Lee i in
4,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9b0n8Ao79Qi,Ä
5,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9b0n3WuELwU,A
6,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9b-ZYLrRHxz,Promusician
7,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9b-ZXXiN9vg,Exile🇯🇵🚕
8,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9acZ4qz9rkD,Reminds me of my childhood in thr 70s riding my bicycle around my blocks and admiring the brown CArerra
9,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9acYl_QIj5_,My Lord thr water skiing scene in a Beaulieu sur Mer
10,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9acJ_RP8Ycu,Superb makes u cry with the love story song
11,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aYS9l_T5hR,Those four dots headlights are horrible!!!
12,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aW9zX9XYf6,Good old Europe. Classy. Sadly those days are over. I miss them.
13,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aUr77HnbKF,@sensualeye Its a mixture of the two Its origin is German but it has the passion of the Heart and soul of An Italian. It lives where there is freedom and that is what sets Porsche apart. That place is this place any place it can be as long you understand to live free and to be free!!!
14,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aTa-UI19vU,I thought the same.
15,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aTUBzomfqw,"@RIDE YOUR DREAM MOTO ed no, it's the theme song to the 1970 American movie "" Love Story "" sung by Shirley Bassey, originally recorded by Andy Williams."
16,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aTTyVM5Ibf,"@sensualeye French, it's the Cote d'Azur, French Riviera"
17,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aTFRkl7RSL,The sheer nostalgia/bond(007)/classy/allure of this is amazing.
18,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aSNfnHNqSU,"Tons of money spent on it… I felt the opposite though. I’m definitely not the target audience on this one, ick."
19,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aRax9PHLjV,@Guenther Michaels I wrote this yesterday
20,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aRZhVCdj5g,"Goldfinger is theme song to movie Goldfinger. Different song.
This is the theme song from the Movie "" Love Story "" (1970) with Ryan O'Neil and Ali McGraw.  That fits with the love story in this Porsche commercial. 
Also in the film it was just music, no singing, then Andy Williams first recorded the song with Lyrics. Shirley Bassey recorded it as well. The song is called (Where do I begin ? ) Love story."
21,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aRWwAW6EXk,"@Guenther Michaels Ich glaub‘, das war wohl bei „Goldfinger“"
22,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aRW2P1EIYp,"Don't forget the voice of Bond movies, Shirley Bassey.."
23,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aP4_2Xu0HH,@Taufiq A. Farizi the song is from the movie „Love Story“ from the 70‘s
24,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aOa_Qtwh7Y,"Can’t agree with you more. From concept to execution - simply perfect. I hope you have noticed the song here talks about the man and the car too, how “he fills my heart”!"
25,UgwRNv7VrMvVBanSiWl4AaABAg.9aLJ5C3QTOw9aOZdzmuzdW,"@sensualeyeFelt French…
French Rivera no?"
